Country / Year,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Brunei Darussalam,471920156,658783866,914337211,1870426456,1101144138,1744010423,2951375035,2851036130,2603244193,
Cambodia,4386900440,5160424744,6040238803,6998308649,8542922750,8148649079,10457890627,11705374946,12293414261,
Indonesia,44456218942,47591263537,58849923522,72670066451,72892507821,71416535967,1.09993E+11,1.33562E+11,1.2782E+11,
Lao PDR,1752735192,2154511429,2749480552,1513698529,3353322720,2760921858,3577320467,4279477825,4419338590,
Malaysia,59097501303,58025704374,67659498440,77900548959,76062352610,78979322491,1.01651E+11,1.11966E+11,98623503408,
Myanmar,10901660991,10333977133,11513991907,11796877088,12157833186,11916854277,8685617662,9318591512,8519066802,
Philippines,17871004086,22108548757,26495023074,32000060930,36570809519,31840177231,42215395685,40807337215,41868477907,
Singapore,93538321827,84810655085,99284429037,1.00118E+11,1.00731E+11,99142875659,1.22161E+11,1.26886E+11,1.2448E+11,
Thailand,64816627750,65828963741,73670426412,66784501793,79531022676,79590747796,1.04024E+11,1.05197E+11,1.05E+11,
Viet Nam,66203910698,71894483363,93795944420,1.06883E+11,1.1702E+11,1.33078E+11,1.65773E+11,1.75329E+11,1.71229E+11,
,,,,,,,,,,
,,,,,,,,,,
Country / Year,Brunei Darussalam,Cambodia,Indonesia,Lao PDR,Malaysia,Myanmar,Philippines,Singapore,Thailand,Viet Nam
2015,471920156,4386900440,44456218942,1752735192,59097501303,10901660991,17871004086,93538321827,64816627750,66203910698
2016,658783866,5160424744,47591263537,2154511429,58025704374,10333977133,22108548757,84810655085,65828963741,71894483363
2017,914337211,6040238803,58849923522,2749480552,67659498440,11513991907,26495023074,99284429037,73670426412,93795944420
2018,1870426456,6998308649,72670066451,1513698529,77900548959,11796877088,32000060930,1.00118E+11,66784501793,1.06883E+11
2019,1101144138,8542922750,72892507821,3353322720,76062352610,12157833186,36570809519,1.00731E+11,79531022676,1.1702E+11
2020,1744010423,8148649079,71416535967,2760921858,78979322491,11916854277,31840177231,99142875659,79590747796,1.33078E+11
2021,2951375035,10457890627,1.09993E+11,3577320467,1.01651E+11,8685617662,42215395685,1.22161E+11,1.04024E+11,1.65773E+11
2022,2851036130,11705374946,1.33562E+11,4279477825,1.11966E+11,9318591512,40807337215,1.26886E+11,1.05197E+11,1.75329E+11
2023,2603244193,12293414261,1.2782E+11,4419338590,98623503408,8519066802,41868477907,1.2448E+11,1.05E+11,1.71229E+11