,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,IDR,SGD,MYR,BND,THB,VND,PHP,MMK,KHR,LAK,USD
IDR,2123.2,1939.89,2085.53,2096.69,1989.81,2142.88,2242.59,2254.96,2168.86,,,2015,2123.2,0.2184,0.66129,0.217017,5.5484,3462.6945,7.225,201.74,623.69,1194.5001,0.154
SGD,0.2184,0.208,0.2054,0.1982,0.1931,0.2024,0.2121,0.1944,0.186,,,2016,1939.89,0.208,0.64597,0.204799,5.1516,3276.1654,7.1431,195.32,585.58,1170.5001,0.14388
MYR,0.66129,0.64597,0.62189,0.60093,0.58752,0.61592,0.65532,0.63847,0.64612,,,2017,2085.53,0.2054,0.62189,0.202347,5.0098,3487.2543,7.6612,207.92,620.19,1253.5001,0.15356
BND,0.217017,0.204799,0.202347,0.203473,0.197427,0.199816,0.208195,0.205018,0.189803,,,2018,2096.69,0.1982,0.60093,0.203473,4.7054,3374.2834,7.6414,222.94,584.15,1209.0001,0.14538
THB,5.5484,5.1516,5.0098,4.7054,4.2723,4.6071,5.2249,5.0063,4.8471,,,2019,1989.81,0.1931,0.58752,0.197427,4.2723,3327.9965,7.275,212.12,584.5,1242.22,0.14361
VND,3462.6945,3276.1654,3487.2543,3374.2834,3327.9965,3538.7885,3593.5143,3425.793,3417.353,,,2020,2142.88,0.2024,0.61592,0.199816,4.6071,3538.7885,7.3581,203.43,619.79,1289.84,0.15321
PHP,7.225,7.1431,7.6612,7.6414,7.275,7.3581,8.0167,8.0179,7.8007,,,2021,2242.59,0.2121,0.65532,0.208195,5.2249,3593.5143,8.0167,279.25,641,1485.55,0.15733
MMK,201.74,195.32,207.92,222.94,212.12,203.43,279.25,304.37,294.57,,,2022,2254.96,0.1944,0.63847,0.205018,5.0063,3425.793,8.0179,304.37,597.01,2506.5684,0.14498
KHR,623.69,585.58,620.19,584.15,584.5,619.79,641,597.01,575.57,,,2023,2168.86,0.186,0.64612,0.189803,4.8471,3417.353,7.8007,294.57,575.57,2896.2542,0.14084
LAK,1194.5001,1170.5001,1253.5001,1209.0001,,,,2506.5684,2896.2542,,,,,,,,,,,,,,
USD,0.154,0.14388,0.15356,0.14538,0.14361,0.15321,0.15733,0.14498,0.14084,,,,,,,,,,,,,,